,name,price,link,review
0,Apple 아이폰 13 256GB [자급제],"1,106,990원",https://cr.shopping.naver.com/adcr.nhn?x=dGMRiXsyCyVYSwIxatIKZP%2F%2F%2Fw%3D%3DsdAWi%2BIJ2oj3uu5lPizkAXw1jA3w6Gfi0ALjFClBNF71N4NgkrPIjlczCBjhk2dSMfGiw9eIeaWF83QIT%2B7ChopzreSRw2N%2FAHEinEnFn%2FGh4VlIufqmHzP6W%2FutFvhXW3GBkKr3ZsiZ77niM4Y8bEMv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKBJI0dviJF7aVxSP3I1r8G5bkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLxTlaf5%2FiuaOH7ew%2B4arNk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpqie746A225856R7O%2F1td1J3o9s%2Bdz1EtU0lCGMA9yI8bV9SohnsJOp40F4RSK4iNabl0le3yBSrvr8Jks4q2Zy6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KoBkkXjm5n0VcOvXj1ecS0Es9Tqme0YK6uG79Xy6idNiHlfowHcl1ucGiE6LxBjaayUAwKFiTV2keyt8XqZfmTCXUTNno3lzByylIWjoBpCBJ7N0%2BKs0gSFTdhwMrBXaDk6rLlQ2ddyz7kiXlxDqQ4mY35Jp43Mx3S9FTGxzvix4sOEsHC78VBLnFZh%2FnDobeN&nvMid=29029192591&catId=50001519,977
1,Apple 아이폰 13 미니 128GB [자급제],"874,000원",https://cr.shopping.naver.com/adcr.nhn?x=QXwg0P%2FPyqC2Af4Gsua1%2Bv%2F%2F%2Fw%3D%3DsMCxXyqZqlCnKuZpcKFeEIteRER6N3X5wiRptIyGSyb2GgjNtjvRyY8TaEm3AQ5UwJPXMtMW2Xqc1yd%2F5WD2%2FFxKE3%2BHwvJqDiq6s6xuLU4h0%2Bb5WUnpAirsGx%2FtN07sA%2FyrGL%2FXIujRnUyz8RnPozt9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL6vmS6IPw0N8PQDlZk4TeMmNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVobe4PEyKv8NYSxWwSTP3TqsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8XhLxT14wd2hCrsGGVHSG0aJY3q73mSs8f0mOEvZkOqDqdi3Q%2Fm8V2A5jR123nAwZyiHrV%2BqNia8veU2Jhny714BD40iqWaNeYMpOus5JTYBDk2nHMP4aHVCx%2FcONoE3ucOT%2BRsdnHIzNMGl8g3WFM4UriKaNxXUAumzCkEtSNCwUVxRG4ldwD1%2BkE4NgSPi6RRDaDMTDaYN0Kt9EHaWlnC%2FHWM9GBCmD39PrBCt6tf2dSlPOZBN6V54TTL6u%2FzFsyUQvcT7y%2Bau6vGwLQuxcZPkrh17BmBtvFPpSZon3NncDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=29030650586&catId=50001519,"1,730"
2,Apple 아이폰 13 미니 256GB [자급제],"997,350원",https://cr.shopping.naver.com/adcr.nhn?x=VOpXz5M9pjRIl0TKsafMk%2F%2F%2F%2Fw%3D%3DsspMl23%2BClc5LE07A3JZpA2w%2FCaQfhGU2Cf24fqjXeWfrlQPyQuHoHFsppYbPEdHatNQig0ZgBkllKxUaCsLi4KTcoNc91GF5QvpbmQHdqvjkvN0u4hbsMNY3R8JB5%2BTUMLPuiS%2FjPUNr07U8yW187YZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQHFu7hQKMJ1DiSIn6Qv1RZSJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRcwIOWqJKi0ktknVLPHxgqauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJvUSiiF8hWqhiuJiEhIWkY9pmKYdXeOs3EwbwbyxXVyj1QQzCLreNp8sjPDBjStixjQaGLcMmduX4DYWfbsi2VGBT7SMKEEWA0f6R2waC%2F2dFiBdPxTSuvYOb67FAYBAGWR34PGgX21IX5FwB8U%2FAXwb3eAmUpLAW0oMcgSl2cZpD%2FkFMO4s7sTx4sbc7XXXQvaOjGxMtdSZf0nL3LrxHbKkNkvdMJIw1EKF7bQUL6%2BRP4PMPHCnudPTZjGRUD3iU27A%2Fy9Wcz7EU72Pz6EEGPYkn0liBnV2Kjto1E99BM%2Bgu6T5S2%2BK16DXItYmBr8l0Bq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=29030437590&catId=50001519,767
3,Apple 아이폰 13 128GB [자급제],"1,090,000원",https://cr.shopping.naver.com/adcr.nhn?x=8X0jOJvKaFyOgB6esqZAtv%2F%2F%2Fw%3D%3DsfmQToge9mm8C4G1R9K3u5JvLCZE3FkYburAoZafSjmtN4NgkrPIjlczCBjhk2dSMu9%2FRH1KAgp%2Fm7m43pEQI3pzreSRw2N%2FAHEinEnFn%2FGh4VlIufqmHzP6W%2FutFvhXW3GBkKr3ZsiZ77niM4Y8bEMv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKihdJbsF7mPFDdM7F9nXsoJbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLxTlaf5%2FiuaOH7ew%2B4arNk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEphQzScmWiJuWDZOEsclZDcXV7rj7GrYGFPYndo03%2FAH0bV9SohnsJOp40F4RSK4iNoWXnTY44WfBZT7q%2FcIhCzy6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KoNK%2FfffFjYviabWreTrAvhc9Tqme0YK6uG79Xy6idNiHlfowHcl1ucGiE6LxBjaayz4JNWOGIs4GXKChyydOT%2FjzUaLji1QUfW5FQpucBI9BCHZq2y%2BiH9DYedBHFh%2BKgx7x%2BBQ5LUSHvme3btZpwBsakHxI8%2FtEipU39iXa23N0OEsHC78VBLnFZh%2FnDobeN&nvMid=29030374587&catId=50001519,"1,472"
4,Apple 아이폰 13 미니 512GB [자급제],"1,257,990원",https://cr.shopping.naver.com/adcr.nhn?x=Q7KGytBJA24v3jlfiwODRf%2F%2F%2Fw%3D%3DssjHno1qcUAzRbO3DPjkkFqMQMxK7lfhq4UybHUry2FDrlQPyQuHoHFsppYbPEdHa%2BSyR6vWLrsQrhHRSVIvF%2BTGnjrsdizrrJ8gYw7JCUj3kvN0u4hbsMNY3R8JB5%2BTUMLPuiS%2FjPUNr07U8yW187YZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQ5eJoxHy7F9pVayzIa84fuyJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRcwIOWqJKi0ktknVLPHxgqauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJqfC9w0hmjkVzBI7YyHPuQ4whiGt%2BTnOuYwxFiisL3Y71QQzCLreNp8sjPDBjStixjQaGLcMmduX4DYWfbsi2VGDM3SiPCyze6%2Bi%2BuJ%2Brf7lFiBdPxTSuvYOb67FAYBAGWR34PGgX21IX5FwB8U%2FAX5tsvAd8RoapYLBXqQi9V7pD%2FkFMO4s7sTx4sbc7XXXQvaOjGxMtdSZf0nL3LrxHbFNa4NK%2FR09HLVnAFz8t1ifC0hiHfmfzmAI0X1cC502KHYS%2Ffe75Izag9ltmMMzG%2F1Nr%2FL7xA9bi%2FHSwAUSEyGXnMN4BUpi6NFTaZnfHd1XEQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=29030296587&catId=50001519,59
5,Apple 아이폰 13 프로 1TB [자급제],"1,633,600원",https://cr.shopping.naver.com/adcr.nhn?x=qsknBpl3O9AIEHedgzHi4%2F%2F%2F%2Fw%3D%3Dsyw7Dqw%2Fpo99KxMqUc3ynDj1QMnT5r38MZlMUBwYG7opN4NgkrPIjlczCBjhk2dSMJKs82H6wt%2Bf%2F8hawrJDP2pzreSRw2N%2FAHEinEnFn%2FGh4VlIufqmHzP6W%2FutFvhXW3GBkKr3ZsiZ77niM4Y8bEMv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKCqMGcFvs80%2Bm9t1aozn63JbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLxTlaf5%2FiuaOH7ew%2B4arNk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpq0AhNTUkwgfGFSekgdCp%2Bp3o9s%2Bdz1EtU0lCGMA9yI8bV9SohnsJOp40F4RSK4iNnRZE7VsoXqq4UW%2Bf7klEpS6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KovtNin%2Brw3R1h4tZ%2FeJRj8RQ5Y304PhkZvKPG123kGPO7A%2F0vSPti8cHY4o2fastwY%2Fq%2BhJe%2F9%2FigY7GOLUuI93jaXecKLpojkaQYyOGq5I0RpOFzCbaM6OU97uoPifjr81KKMB0%2ByoT3%2B3eOHzoo17VstKph7CS4XpdV5KBicLXHICEQpPL7Rm%2B2fyhjEhHR&nvMid=29029192588&catId=50001519,79
6,Apple 아이폰 13 프로 128GB [자급제],"1,649,990원",https://cr.shopping.naver.com/adcr.nhn?x=02v4k0ASOwKcS4aeqZeZ5v%2F%2F%2Fw%3D%3DsjKcTy2VPmpk2dGJqp4SNa%2BAQ6WnfAQQ%2BNMUeeUsBlAxN4NgkrPIjlczCBjhk2dSMiqyn%2Bu4UqHZc9LSLx4bb05zreSRw2N%2FAHEinEnFn%2FGh4VlIufqmHzP6W%2FutFvhXW3GBkKr3ZsiZ77niM4Y8bEMv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK2geXZy3Q9F6n45539rDBRZbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLxTlaf5%2FiuaOH7ew%2B4arNk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpZHvIEyv9D6JL1Wt01JzGJZCUqhNbugFHlLh7n8V5E%2BIbV9SohnsJOp40F4RSK4iNC6laf6hLfskeaglqqK%2B1uy6UxJeah0Om0lkIOZtT9ZLxLbU57LuNzmnFLwGq45KovtNin%2Brw3R1h4tZ%2FeJRj8b2VsIAdSBjHtTdXYc693jejriJ8H0NV5nx9%2BVr0aUV2wXleBrmxo3QK%2BInhDFbQHc9%2BOEORCNlf3rve75V%2B8wOIDf9TYDOC4LzgCehLsur5v69YEX8P9LJNdGm%2Fw5iqWPmqZsoaSBg2aHFTFA9z3IxXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=29030420587&catId=50001519,"2,340"
7,Apple 아이폰 13 프로 256GB [자급제],"2,299,970원",https://cr.shopping.naver.com/adcr.nhn?x=0HdeloX5He0dUGOUzI8gfP%2F%2F%2Fw%3D%3DshMnRWO2wYY4H2SQh3xfMajm1RE9z2b4yORVj9izZoH6GgjNtjvRyY8TaEm3AQ5UwEslfw2L7uWNWIohFj%2BEPeBKE3%2BHwvJqDiq6s6xuLU4h0%2Bb5WUnpAirsGx%2FtN07sA%2FyrGL%2FXIujRnUyz8RnPozt9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL137zj6xS8KLGHM26HEneD2NmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVobe4PEyKv8NYSxWwSTP3TqsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8YHFfbdf%2FG2yob4EOwti7FKjiVr30oh5RpNTiqCCAaG%2Fqdi3Q%2Fm8V2A5jR123nAwZGAcEe7n%2FGe4oEgPtgBdbJIBD40iqWaNeYMpOus5JTYBDk2nHMP4aHVCx%2FcONoE3uVxrykmdUCWVn8SXvu0QPtN0u4czD1d73s%2BXym%2BxAMdsUVxRG4ldwD1%2BkE4NgSPi63URfBmTORH7vj%2FpLXIzcjnGQdcVu%2BSwQBS5iFhgQ9xcBhNg6pO%2F%2Bw6bSRwW%2FduOk1DhsucZHl%2BTISrv3J9md9FnVJ91XIG9fgQI7gnpwvmtvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=29030492586&catId=50001519,"2,626"
8,Apple 아이폰 13 미니 128GB [LG U+],"199,600원",https://cr.shopping.naver.com/adcr.nhn?x=nLcqH8t1Vt4DDD742L8d5P%2F%2F%2Fw%3D%3DsmncFo%2Fm4%2BQ8YQ7gEc%2BNwkZ9Wo0tz2ROQu2ntOunKwYzrlQPyQuHoHFsppYbPEdHaOJu4L4bWsCybIOGtnIDjlon0RG5l81JtxWD8kIFl3s7kvN0u4hbsMNY3R8JB5%2BTUMLPuiS%2FjPUNr07U8yW187YZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQ7pbwbHSh%2FX5BFJKMjiN3fSJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRcwIOWqJKi0ktknVLPHxgqauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJaS5vX3m6Bniap7Ri7JnMiw0OtmMXJIu4LXkUDffvVz%2F1QQzCLreNp8sjPDBjStixj1OT%2BvUJUOEzwKKBwf%2FstXQH7giPWipSbhzyJH0f5o1FiBdPxTSuvYOb67FAYBAGWR34PGgX21IX5FwB8U%2FAX9zmytkD7l5LND%2BfWVSSY9qhzDfp6Y5Zq42WobtISlGzczqAKNrj%2B167McFp%2BXTfFlD4uGwVcAuK3ntJdO%2BH7XoNauEcRynSn%2F8orOK7nc90plUXOsQ1Hp6NiCYu6EB48WaeN2Lg5gs8E4%2B0MI2H9BtWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030431586&catId=50000248,2
9,Apple 아이폰 13 512GB [자급제],"1,129,000원",https://cr.shopping.naver.com/adcr.nhn?x=a85AulMei5XNw7HbCxnVyP%2F%2F%2Fw%3D%3DssNDAbV4qAOrOVJlnndP4XZIRctDp6Mhrq3MQtQGQOrYCYpaXrkpTZ0FTnmqeb1eBfiMwd2BwUmb1WE94k3oqjojkFco8tZCDnugcGDC5H9LJG4Qa4x2VD9pG%2Bx9WgKWsgEJh4zfCayYyMmsFVq42xFVd6Z%2BmZ5fvTALbBBPmfKL392rcVj5mouEkJq8zyckjp2ULzmP6XBevwloFXFA3ZzMYBx1AVSExF%2FJDG79qxZroKerklH7Yg1PDIUUPafxm0JsLPEw5RVyM9BzMOC8eucOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqF6BS%2FQn8QBtXnugJbqOa7rNoujdiiNe5Aky91pn4j%2FL%2FRfyAUEGGvquedOTk2rashAjshpcyO4G7wXXJ3PxB%2BLHJM06m8XkkoABSxxLFFemOsyh0bwCm%2FIOHaD6%2FrVAH1O5wdW9qvwULu1yebN9l8kP%2BQUw7izuxPHixtztdddC9o6MbEy11Jl%2FScvcuvEdsVs3Oi2Wq30p1hfP2zNuto8LSGId%2BZ%2FOYAjRfVwLnTYphf4zUUDPiY3svZ8ZRPKkCNWLFmEdOwJEiE8i98m3V3DZvEyfiGJVfqTSZOaTAoyYdHI8FZtQVGFZJxOyBDKc%2B&nvMid=29030496586&catId=50001519,69
