,제목,특성,주소
0,시민공원 푸르지오 부산 최고 조건~,기존,경상도 부산시 부산진구 부암동 123-11 
1,구서두산위브 수수료 익일지급 팀1200박신영본부장,두산MOU완료 문자벌금지원 초역세권,금정구 구서동154번지 외 
2,김해 주촌 서희 최원혁본부장,변경,경상도 김해시 김해시 삼정동614-1 
3,천안 아산역 휴대지구 아파트,신규,충청도 천안시 동남구 천안시 동남구 쌍용동 215-1 
4,대구 북구청역 푸르지오 에듀포레 ~첫조직~,신규,경상도 대구시 북구 원대로 103 
5,힐스테이트 평택 1571세대 일반분양APT,기존,경기도 평택시 비전동 1102-2 
6,현대건설 오산,신규,경기도 오산시 고현동 22-1 
7,학산 한신더휴 엘리트파크,기존,경상도 포항시 남구 상도동499 
8,힐스테이트 동탄역 파격 조건변경,변경,경기도 용인시 수지구 동천동 856-4 
9,전국최저가브랜드아파트,할인 10%,전라도 광양시 광영동378 
10,대전 자이르네 아파트 조건변경 당일지급,신규,충청도 대전시 동구 동구 대전로646 
11,부산 사하구 지식산업센터 TM팀 모집,기존,경상도 부산시 사하구 하단역7번출구 
12,안성 해링턴플레이스 진사,신규,경기도 평택시 소사동 685-8 
13,일반분양아파트 팀원 최고수수료 700만원(매주100%지급중),기존,https://centraled
14,워킹으로 계약!!푸르지오 마린시티!!,"첫 조직!!팀원1,000만!!",구룡포읍 하정리828-3 
15,임대)포천 삼일파라뷰 팀/직원모집,변경,가산면 감암리 187-6 
16,대전스카이자이르네 지원금2000만원 수수료당일지급,"팀1150만원 당일지급,팀100만원 영업활동비지원",인동72-1 
17,경주 힐스테이트 사이드 받습니다,신규,경상도 경주시 황남초 앞 
18,아산 한화건설 48초고층 한방현장,신규,충청도 아산시 배방읍 공수리 1581 
19,아산 한화 임대 49초고층 이건희본부장,신규,충청도 아산시 공수리1581 
20,브라이튼 여의도 APT,신규,http://브라이
21,(신규일반) 함양 최초의 1군 금호어울림,신규,경상도 함양군 함양읍 교산리 189-3 
22,오목천역 더리브 일반분양아파트,신규,경기도 수원시 권선구 수원시 권선구 매송고색로646(고색동) 
23,포항 학산 한신더휴,포항 최고수수료! 3달 500건 계약나옵니다.,경상도 포항시 남구 상도동 499 
24,남양주민간임대아파트(마지막 한팀만),신규,경기도 남양주시 경기도 남양주 오남읍 양지리 749-1 
25,경남 고성 더리브 스위트엠 일반분양,신규,경상도 고성군 경남 고성군 고성읍 교사리327-13 
26,대전스카이자이르네(모든조건변경_떡상현장),변경,http://www.xn--950b78av7j1sk94f
27,백운호수 실버타운(푸르지오 숲속의아침),변경,http:
28,힐스테이트 원주 레스티지(각개직원만),변경,강원도 원주시 원주시 무실동1721-2 
29,아산 한화포레나 이경규 본부장,신규,충청도 아산시 배방읍 공수리 1581 
30,아산배방 라온프라이빗,신규,충청도 아산시 모종동 672번지 
31,●과천 힐스테이트 초대박 추가 조건변경 완료●,신규,경기도 안양시 동안구 비산동 1100-3 과천힐스테이트 모델하우스 
32,신규)포항 푸르지오 오션뷰aptㅡ직원 천만뭔,신규,경상도 포항시 남구 구룡포읍 하정리 838-8번지  
33,백운호수 푸르지오 숲속의아침,변경,경기도 의왕시 경기도 의왕시 학의동 918-1 
34,힐스테이트 평택 1571세대 일반분양APT,기존,경기도 평택시 비전동 1102-2 
35,아산 2달완판 예상합니다,신규,충청도 아산시 충청도 아산시 공수리1581 
36,용인 민간임대(마무리 같이 하실 팀 모셔요),기존,경기도 성남시 분당구 구미동 152 
37,센토피아 트윈 비스타 군포역,신규,경기도 안양시 동안구 호계동 901-37 
38,"마석역 신세계 빌리브 수수료파격인상 팀1,800~2,000",기존,경기도 구리시 동구릉로 3 
39,역세권 한샘 테라스하우스,♡한방현장♡,경기도 남양주시 마석우리21-1 
40,(신규) 해링턴플레이스 진사,신규,경기도 평택시 평택시 소사동 685-8 
41,김해주촌연지마을지역주택조합,기존,경상도 김해시 김해시삼정동614-1 
42,그랑시티안양 제로입주,신규,http://
43,힐스테이트 평택화양,기존,http://w
44,"삼성앞1층단지상가,팀장,팀원모집!!",삼성 먹자골목 메인위치 평당1700~2200만,충청도 아산시 아산시 용두리722 
45,(신규)전층 드라이브인 일산 지식산업센터,신규,경기도 고양시 일산서구 백석역 
46,"광양10%일반분양아파트(팀장,팀원)",신규,전라도 광양시 광양시광영동378번지 단지내상가 
47,엘 카스카디 BY 제이파크보홀,필리핀휴양지 초대규모 워커파크 및 골프장을 갖춘 하이엔드 호텔&리조트,필리핀 보홀섬 
48,이편한세상 용인역 플랫폼시티,신규,경기도 용인시 수지구 동천동901 
49,천안아산역 휴대지구 신규아파트,신규,충청도 천안시 서북구 쌍용동 215-1 
50,신규 II JPARK II 보홀 7성급 II 계약서오픈,신규,서울 강남구 논현동 106 
51,일반분양)입주까지1000끝 대출x수수료O,변경,경기도 연천군 전곡리276-12 
52,오산 현대건설 민간임대아파트,기존,경기도 오산시 고현동 22-1 
53,오목천역 더리브 일반분양 아파트 신규스타트,신규,경기도 수원시 권선구 수원시 권선구 매송고색로 636-1 
54,아산모종 힐스테이트 블랑루체,신규,충청도 아산시 모종동808번지 
55,해링턴플레이스 진사,신규,경기도 평택시 평택시 소사6길 133 
56,검단신도시 메트로시티||,신규,인천 서구 인천서구원당동 검단신도시 메트로시티| 
57,천안아산역 휴대지구 신규아파트,신규,충청도 천안시 서북구 쌍용동 215-1 
58,●과천 힐스테이트 초대박 추가 조건변경 완료●,신규,경기도 안양시 동안구 비산동 1100-3 과천힐스테이트 모델하우스 
59,포항 푸르지오 마린시티,향상1등만 하는 능력있는 팀장2 호제 브리핑거리 넘칩니다 방문만시키세요 한방에 계약써드립니다 ㅇ,경상도 포항시 남구 구룡포읍 383-8 
60,워킹으로 계약!!푸르지오 마린시티!!,"첫 조직!!팀원1,000만!!",구룡포읍 하정리828-3 
61,안성 영무 예다음 장기 민간임대 임대분양 직원모집,기존,경기도 안성시 신건지동38 
62,힐스테이트 동탄역 센트릭,할인 10%,경기도 용인시 수지구 신분당선 동천역 
63,남양주민간임대아파트(마지막 한팀만),신규,경기도 남양주시 경기도 남양주 오남읍 양지리 749-1 
64,첫조직!!최대수수료 [ 조건변경],신규,경상도 포항시 남구 경상도 포항시 남구구룡포읍 하정리 838-8 
65,백운호수 실버타운(푸르지오 숲속의아침),변경,http:
66,남성역 롯데 크레스트힐 아파트,신규,서울 서초구 서초중앙로 148 
67,■■검단 넥스티엘 복합문화 상업시설 팀3.3 %■■,신규,인천 서구 인천서구 원당동1033-1 골든스퀘어 5층 
68,[사이드환영]김해 주촌 이편한세상,변경,경상도 김해시 부원동555-4 
69,광양 펠리시아 아파트,기존,전라도 광양시 신금로142 
70,(완판)수수료당일800/대전 스카이자이르네 직원모집!!,신규,충청도 대전시 동구 동구 대전로647 
71,모종2지구 1060세대 아파트,신규,충청도 아산시 몽종동 808번지 
72,대전스카이자이르네,기존,인동 72-1 
73,💥인덕원역 도보1분/쿼드러플 초역세권💥,신규,경기도 안양시 동안구 관양동1505-29 
74,일반분양)입주까지1000끝 대출x수수료O,변경,경기도 연천군 전곡리276-12 
75,경남 고성 더리브 스위트엠 **첫~조직 일반분양,변경,경상도 고성군 고성군 고성읍 교사리 327-13번지 
76,전국최저가브랜드아파트,할인 10%,전라도 광양시 광영동378 
77,포항 푸르지오 마린시티(팀원1000만/일비2만)오션뷰,신규,경상도 포항시 남구 포항시 남구 구룡포읍 하정리838-8 
78,전국최저가 일반분양,기존,전라도 광양시 광영동378 단지내 상가 
79,역세권 한샘 테라스하우스,♡한방현장♡,경기도 남양주시 마석우리21-1 
80,신규 II JPARK II 보홀 7성급 II 계약서오픈,신규,서울 강남구 논현동 106 
81,(신규) 해링턴플레이스 진사,신규,경기도 평택시 평택시 소사동 685-8 
82,(신규일반) 함양 최초의 1군 금호어울림,신규,경상도 함양군 함양읍 교산리 189-3 
83,힐스테이트 평택화양,기존,http://w
84,포항 학산 한신더휴,포항 최고수수료! 3달 500건 계약나옵니다.,경상도 포항시 남구 상도동 499 
85,초읍 월드메르디앙(일반) !!,기존,경상도 부산시 부산진구 초읍동 215-27번지 2층 
