,name,price,review_cnt,link
0,해남 꿀 고구마 3kg 5kg 호박고구마 베니하루카,"10,900원
배송비
무료
무료교환반품","320,300",https://cr.shopping.naver.com/adcr.nhn?x=sCIfHBK8OxtPrVqpI3XFQf%2F%2F%2Fw%3D%3DsM3ldv0mZvhZIrJRURG5CE%2BfvpT5GqWv86%2F9hE%2BMxcDnrmbZKMw7CgD%2FASNNyGHGfw%2BZFz%2F6ai4bcC5HqvlWOJ0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyQC76lfNx9byZ%2B95XmbiqRhXDS6KJWOJiH9xQbyX6%2Buikb%2BmuGU3JWLPe4LKCNIAKIotDWoJLTP%2FkX3lLr6X39kuG%2FicFY3q9hGdjro9%2BnxR79dNq6Ffk8Lp6nu00Do12cT7wMWeigEUTCn%2BpiUgfyA1yAxhpOJKZSxT%2FPuGo5WQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSesC0d%2BJ9m5WbUo7uYoiC09B2zqx9br2k8iftihYszxUtIt0GDtNHhtP8RXIEn1P8sfqkkD5%2FROqXhBMAiV6TOufnMy8nSBokqaLNJAS%2FL95vL0IQWqjNwEAh%2FLO8a5l1kEn4Or6H%2BVzdR4a0iqOtwGquKxp%2BLg6BrHHHOIpSQFBPK50g5XD8JNtbWtYsRIgpljv4JR%2Bs46vnKWSCJRwMT3WMZth3kmWFkUpGueO4E1IJdYhDW7fO3QYVpvmvMhaWw26Mlm9cVLKXF4tx4h3rm2gQB79Eo%2BJ5JTSm4Aeqoi6nFDVDVRSW5JWdo2ek0K%2Bq0x0cjwVm1BUYVknE7IEMpz4%3D&nvMid=8016453163&catId=50002214
1,해남 꿀 고구마 3kg 5kg 베니하루카 황금호박고구마,"8,900원
배송비
무료
오늘출발","277,198",https://cr.shopping.naver.com/adcr.nhn?x=sBPPkbdLYiUllGA4MgqjoP%2F%2F%2Fw%3D%3Dsq4P7TKrJg%2FGUym6ufgu%2BIDok13YNU2bcWLmIgDPp0j5VcWKdXUnFrQ%2B8ykSAd8keiGYslpOpwM7ZJiCUOby%2FxNof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWjBjkLOxXqS%2F2kSOwGSfrHJlpmKDxYwDQdJ0%2BcZ2gVQL6P6tQXbX27EFddkUDQdU0Bju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDSirEkpEzWdZzkEsDOLhqXN%2BZz%2FRRTaF9MOsXFwa%2BBOu9WW6n5aDSbOS0iHSoXgAaZr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu2dbPH673UYEpLGuH%2BnXXhYtC%2BVRXkRctTmBRBI3Fl7hKF8OyA49UmzI9JgChHG1HciCrQuERxWpxZ7tNy3AN5ubMB8q%2FCdpU0N%2Fr%2Fwotnaczz415lWJRbHVeFbVpGvyQ8Cl%2FnFYD8s%2BYhjDO%2Bb9oaqxcJtogv1z34N6EnPJPJD5Xwejne%2BEEzuHYRrtkwIzo%2F7UATIr0QCBSTHAPg%2BLQkvl3UYuBbu3CqjOZmgIaMLfsQocLEGGa0wsleHc2pFkrUTV1%2BAaKiQLtAjxKpVKG%2FIs%2FTs82yybu9o9NtitNgT3%2Bg1VJtRIit762IBo4rBDLIVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=81999320307&catId=50002214
2,영암 세척 꿀 고구마 3kg 5kg 베니하루카 황금호박고구마,"19,900원
배송비
무료
무료교환반품","170,150",https://cr.shopping.naver.com/adcr.nhn?x=NIXQKX265uplTy686vQah%2F%2F%2F%2Fw%3D%3Ds6SYZiNdBzKB%2FE2fepkL%2F8OpAT359v%2Fc3h7WWtlQRr1WL00Wmf%2Bc%2FkOFzXHXxNt3Oytadteu9qHbGgQC3l7w1ax4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQnAKZvXp3oebSdy28g02tHiWK5zfsOJZQDQYjwG9Mpee%2BRmzTVsgYouZYD2cMk0sG%2Fa7kKGQXs2iiK5wAJrZGk7%2Ba0O2TX7GIDZW3de8vjU8wzsGsdZbp9x3i0euKTYMMKUZbcWaRT3mGO05qKPg9neInpEnR0xARmcsv71hANMbC54J8UO7LDGXdPU9Do8oyMXmq0wb8nQ9S1CNyVqQgAyGxLsymvsdiYzfChEb6RBLHS8nl4ogCr5BSrmu6u4STBmSCJVA5iDw%2Fewge6rONGG17Vy7AuY9qWTsp5VnbQgEMUIkt5M0yIil13vZMydQVHrk%2BzJEayiuRaCgzZxhc7I1BydUUV5wCZCmHsuk0IIB3k%2Brdabbgm5wYj2t38XpXWbUBv2CxO6L0qUgVcRvi5h46QYiyfO0Vq62tmR6v6jNtVo8EqWMhYE3BA8Cmw%2Bv95sUqo%2BctkWL%2BqlrKEnMdTAnvJEjntGCkjvhDN6olz8XTb5GehGQCU2I%2F8p6KfhdK4qk3wsoh%2BEhnSQw3FrygSqucX%2BGJBdJspbJIhGQH2rJxB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=10480610461&catId=50002214
3,믿고먹는 김의준 세척 꿀 고구마,"19,900원
배송비
무료
무료교환반품","170,150",https://cr.shopping.naver.com/adcr.nhn?x=oty%2B2iOc28L0MsNVfQbnXv%2F%2F%2Fw%3D%3DsSqDTi%2BIufVWK9A0Z2q0HTfl1e9%2FCa%2FK8UXGwuWFyqA%2FrmbZKMw7CgD%2FASNNyGHGfva5ZGW4ESnzWC35MQkI720bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27S5RC%2FzDrxrTDRq9kUpMHaWLiRJpZyocV0GBRvymodq1mo6GiVPpr9J%2BMqhkGzZaaIRpk%2F3naDVH141FQydqSq1JReKPpLs7eM2%2Fs8wOUAemmQIKbplxvhQv6zJ%2Bx2C5uvobt%2BfgDR1hyGlj1JZtcNsXUbTWM%2BUbYKpfg4wKowzdVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv2qSfqw4AS7k1J6SNmnkjVScj42orlWqV%2Bjsqc2m24EA8e%2BxjWUCLApXM7m5b5lX6QA8ZYRPx8TqkAnrESutxQWMHn7BDBNaqXNmoKbAeTMvS7RD1HGNY9bnV2uj36KC7nQFUm0cf%2F5L36y8s%2F%2BwNSmZwMqPKONeZXjUSlo%2FyuNBvuUQ7cv9de9RpHGQc6ufJkQAU7kFQsnpPOeBPkvkRsCxChwsQYZrTCyV4dzakWStzYCTVQtYeSEw2bfv2XhdWMtmG3M8stKaLXjdVkmN0tVedKSNtY21bPaEFY3DV9G0hWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=85585297183&catId=50002214
4,김의준 세척 꿀고구마,"13,900원
배송비
무료","153,883",https://cr.shopping.naver.com/adcr.nhn?x=j%2FRR%2BeI9eqqWi9gpjYxytP%2F%2F%2Fw%3D%3DsuqRAChqE%2BY2vCY9SpKfzqSW493iQwAJB1CN2cC0tRIjrmbZKMw7CgD%2FASNNyGHGfnqXdsKJqiL7%2FkIdK48zaa0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyQC76lfNx9byZ%2B95XmbiqRhXDS6KJWOJiH9xQbyX6%2Buikb%2BmuGU3JWLPe4LKCNIAKIotDWoJLTP%2FkX3lLr6X39kuG%2FicFY3q9hGdjro9%2BnxTJBBYE7FgvZMGpAejdZpLHmFqH%2BP5IvXjAwglxuyv%2Fmw1yAxhpOJKZSxT%2FPuGo5WQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSen91LUJTUcf6meVRTOrsFuB0LpirQSg8wqJaTzav9bD5It0GDtNHhtP8RXIEn1P8sZsBUfyXZIFgz%2F47pgJB9EGNQk8TiH2C4CzRw9QznP3cdAVSbRx%2F%2FkvfrLyz%2F7A1KRW1Sc75ZxUBxl6UFgizaPCF%2B4BVribSbER%2FwtOkwJUmNFmPalVzoz%2Fl0UqhU5yS5j1cz068bJRyD7Mw%2F1WHvv47s1Te1dsqEgsp8qQVq0FyMRGg4enZHtYqc4qFSL9hi2a0j%2BcUnCe9yDGZgp1o2hSCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=9048133927&catId=50002214
5,해남 꿀 밤 호박고구마 3kg 5kg 10kg,"12,900원
배송비
무료
오늘출발","121,501",https://cr.shopping.naver.com/adcr.nhn?x=qHCCscu7wOhi0Pw%2BLYtr2v%2F%2F%2Fw%3D%3DsWiIJTHrIa6VVZszT9%2FpiszDUr8W5dd8NiKEtBJ1%2FB99VcWKdXUnFrQ%2B8ykSAd8keghl6vLnx77x2WCTDqvulSdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHtnMC4B933ntWgsN8W2HWE2WfaDDjWzBAqDQ4IwiLLgQorwt4hfBx9veOzkn%2BqB2Oy7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBsp4D%2BE2%2FmhuxQetqEkRG9yFfJ8tYWT6CqnpxDkGBNwQNWW6n5aDSbOS0iHSoXgAaZr6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu2XmGOaM%2Fbck2oHlX6MDLziQNpABRnuERgo0DKPHj2KZQ3tQmC94vy8K428FWiXBDCsGah3DEyKdvE5sl%2F5IWV2bMB8q%2FCdpU0N%2Fr%2Fwotnac%2FxDYFut7YXYDliVW86zPs%2Bt6uE4DCLRHi%2BstEGuaP8%2Fd6Mp%2Fei8rJxPEa9Aq93UWGBctXLVNJO5%2FUvZ7N6q%2BvqDPv2zaoZUqMdtxxQ6rXrR2ByB33w7cMjxw5ca2QJDI2Pj%2BBVnbqFiFKT4Mt1dNpdlNHSX02IfRNLME7vslANJvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=9270155631&catId=50002214
6,늘찬 품질좋은 촉촉달콤 꿀고구마 호박고구마 23년 햇밤고구마 드디어출하,"18,900원
배송비
무료
오늘출발","96,169",https://cr.shopping.naver.com/adcr.nhn?x=%2Fsk66qoiFoJ0BFiT%2BTRk6%2F%2F%2F%2Fw%3D%3DsH4NXe%2BKfsqR2XOXJf%2FXe72HA%2Bqt10LwwK09u5GI2PATrmbZKMw7CgD%2FASNNyGHGfMMFZurjCGZlqmQOd7fmhkUls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyQC76lfNx9byZ%2B95XmbiqRhXDS6KJWOJiH9xQbyX6%2Buikb%2BmuGU3JWLPe4LKCNIAKpDDrcV66xZeX8zFc7zLYLHg1BzujOyM3aeyrlN7m8PKBNISxlr%2Byo3N%2FSD4BTYrbLINDTZx3pIpKIDHjM87hhGNQTifEJkc8zssk1Cb79wsy6VEKBpIAmi%2Bo7TgEUrcMwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ0Aqdwf%2BMgfa9RwTp3JzQQbx72P1MzfeDsyK%2BcBtz34gMDmy87OcoLyiphPWx7tApOLtTDeSDNdWRIoaW77jVKZsfQSZbWyojmnX04jFezDUe%2FuK28k4Nvs0ZvTl4LJdw6EwBHrb5uwjRhXoFJAFF6MyrEn0ym1FJBL%2FVuomhdWEmvo4C1UA3n71UDCtQYwo873JDM2q31w8OJ4n3d5oOGrlHk5lxJ6d1kDZ1ECWzJ5hXdzAz7KQLPDAOrgZkjtrz0GE%2BqSwAMybmRKOlKvXwoEwpHdgqUP2oYCXqBf0e9k7pO5mCrMSgMPS59Ws33R%2FGuoVEil8xQ4KxxFACrUUZyfV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=6976052692&catId=50002214
7,[KF365] 밤고구마 800g,"4,990원
배송비
무료","79,349",https://cr.shopping.naver.com/adcr.nhn?x=mIbmKeOhVx29gv8yToXuQ%2F%2F%2F%2Fw%3D%3Dsd%2FczEDEpi0BK3uKyZyVKbdMA2pHeplyGmeoJTLCKAsZVcWKdXUnFrQ%2B8ykSAd8keL48tmQ0cG3oMRVOKeX%2B26Nof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWjBjkLOxXqS%2F2kSOwGSfrHJlpmKDxYwDQdJ0%2BcZ2gVQL6P6tQXbX27EFddkUDQdU0Qm6H4wCDOo6YCgK2xY6t%2FTL1dlelFmdpL%2BE1nwAwLFQBeh9Xqb0twtHBg8D5%2F4ZTuaxSzQkWU2kxXXI7y8DtMezitA4e7%2Fw543lyI4%2FGQJBtr0lLa7dpHZ00SIaH4V8oXhOdIG0z0A0VgioEVfIXyyvNLvKD0TvJfxE%2FdU1BPrUZtkTK9qCeZohzHzWUHIFAgGwmPNX%2Fe%2BXkuZ30duRQYj%2FN1gL%2FBgCKENDMCz1nm%2F2M4DaqUepb76TeZV8rCIAN35prrUVGFtn5gwzPcezqIpkgiVQOYg8P3sIHuqzjRhukNOg2PXuE0B2jAEuRQD3gFZchQwqvmVRRObyR8d3FAULa7eBoMHRdCVjklJZF4XdZDtLQx0sF5C%2FVb%2BGxN90HXhB5NrIX2b9w3HoN77NLJF%2Fo1PckBqeT9%2B9t4jBb6BePBimPDZwOttZjcrwUclZ9rm3otVbsA0tI9WYU6dXGjEUHD2YAejrP5YM6QPTTEUPLVWGr8fvvH1mWvUgXPK6j&nvMid=41581268853&catId=50002214
8,유기스토어 고구마 24만개판매 23년 햇밤고구마 10kg 한입/소,"22,020원
배송비
무료
오늘출발","76,329",https://cr.shopping.naver.com/adcr.nhn?x=b8pb2J8hnOCHWGqhM%2FF1EP%2F%2F%2Fw%3D%3Dsvo6yl2NKNTABb%2FF%2B2VIUDoNhOGfgiugrthPCcubWRHRVcWKdXUnFrQ%2B8ykSAd8kehM0EaFxUFPY%2FoPadn4nBX9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lHtnMC4B933ntWgsN8W2HWE2WfaDDjWzBAqDQ4IwiLLgQorwt4hfBx9veOzkn%2BqB2O891e9tn6IyTqKdfm%2BYX04uKpC1zIRZIVs1ato0u8u0lEjtM1tfiSieOPBAckgphjw1zGfUH1ylF4NvWx7CuAFKm1pQzCD6sEx31w6aQ2cturilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqiZRIAGpae7mfGjcSARWBut%2FkW7VukPJHAYdYp5xxQKPCMVMhB95kr9tqBhrcVhp3ryQl3Aaa3rfKKykDLCWDL0RpGrmee0Sq0qKv6X1mtP%2FpCXMB3aYGpdp2eRFDOd0W7UUUXwW1B4w%2FN%2FzojRL%2F7SQe6oLIzES5JcF1AMMGCGAOYGdvzzwHdJXTPzkB8kUWZbu8ObhDx2IPKnjcLcd0q9Ahoy4BSQzA%2BhqF0U3ETH4T87mCU85AVj8kOUrnTLDImWWLE0Y1peY9gXvh5jJ%2FlDnRXc9f6pnqeIF3dKQEgaJNp%2FIi%2FsXXyXXHYmlUy%2BTTyLiHgbl58TrGgZ5QX1cfeZ6CqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=4138338257&catId=50002214
9,[KF365] 호박고구마 800g,"5,990원
배송비
3,000원","69,320",https://cr.shopping.naver.com/adcr.nhn?x=yu1Qpmzd3F04HU0tEWHD1f%2F%2F%2Fw%3D%3DsO3coUpv%2FaqlnhuRCV0YLSTvMVSPxLQv6%2FFN3mAhyM0xVcWKdXUnFrQ%2B8ykSAd8kefXfnuvHU0yaPV73SBV6Ewtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWjBjkLOxXqS%2F2kSOwGSfrHJlpmKDxYwDQdJ0%2BcZ2gVQL6P6tQXbX27EFddkUDQdU0Qm6H4wCDOo6YCgK2xY6t%2FTL1dlelFmdpL%2BE1nwAwLFQBeh9Xqb0twtHBg8D5%2F4ZTuaxSzQkWU2kxXXI7y8DtMezitA4e7%2Fw543lyI4%2FGQJCPC1q5dkDgMn7bxIoeUuWLgvg%2FJZ9TlLApgSI4nVTQmCvNLvKD0TvJfxE%2FdU1BPrUZtkTK9qCeZohzHzWUHIFAgGwmPNX%2Fe%2BXkuZ30duRQYj%2FN1gL%2FBgCKENDMCz1nm%2F3BStHbUAI%2FMcH5iioxjw8b35prrUVGFtn5gwzPcezqIpkgiVQOYg8P3sIHuqzjRhveCxuLl5v%2BIRodiEIiSMSTFZchQwqvmVRRObyR8d3FAdJc7BiwiqRTnXsC4W9uIXzn%2Bumugvu8uPlUvAZRph4by5%2BiqCJyLnbo%2ByD4zK8SQnV1BjgDCQDXOt9FSycEj5AugiDh5S8n%2B7Rc0MeNuzgds%2B61y8GDxkATIh5vT0ucZVp0y4L1QzkoJUbDMYb5GVDke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=41581151217&catId=50002214
